review,sentiment
"If you want to be cynical and pedantic you could point out that the opening where a RAF Lancaster bomber is mortally wounded on the 2nd of May 1945 is somewhat unlikely since German air defences were as lively as Adolph Hitler on that day but this isn't a movie that should be viewed by a cynical audience and I guess a character being killed in literally the last hours of the war adds to the poignancy . In fact you'd have to have survived the second world war to fully appreciate the intellect , beauty and soul of Powell and Pressburger's masterpiece . The scenes of heaven are painfully twee when viewed today ? Again you have to view the movie of the context when it was made . RAF bomber command lost 58,000 men during the war , the same number that America lost in 'Nam but during a shorter period and a far , far smaller pool of active combatants , there's no atheists in a fox hole and I doubt if you'd lost a relative during the conflict you'd view material atheism as being a sensible thing . When Richar Attenborough's young pilot looks down in awe at the sight below him many war heroes must have openly wept at this scene as they remembered much missed comrades who didn't survive the war . Also bare in mind that despite losing several million people from 1939-45 there seems to be very few people from Germany passing through the pearly gates . it's obvious Nazis don't go to heaven <br /><br />The plot itself where dashing young pilot Peter Carter arguing for his life in front of a celestial court wouldn't have had much appeal to me if it wasn't for the subtext , you see A MATTER OR LIFE AND DEATH is a highly political and visionary film that laments the end of the British empire as it's replaced by American ambitions . There's little things that show up the film as being made by people aware of American history and culture . One is the ethnic mix of America , even today many Britons think that the USA is overwhelmingly composed of White Anglo Saxon Protestants when in fact only 51% of Americans are "" White European "" . The film rightly contains a scene where a multitude of different races confess "" I am an American "" as Peter is judged by Abraham Farlan , an Anglophobe who was the first revolutionary killed by British forces in The American War Of Independence . As for the "" special relationship "" between Britain and America - What special relationship ? Powell and Pressburger know their history when it comes to Britain and America . They obviously know their future too <br /><br />So remember to watch this movie with some of your mind in the past and some of your mind in the present . It's strange , beautiful , poignant and clever but most of all it's a film that would never ever work if it were made in the last 40 years . Can you imagine if the story was set in 2003 and revolved around a British soldier killed in Iraq ?",positive
"SWEET SIXTEEN (1983) **/***** 86 minutes Director Jim Sotos Cast Bo Hopkins, Susan Strasberg, Aleisa Shirley, Patrick Macnee, Dana Kimmell<br /><br />Fifteen year old bad girl Melissa is new in a desert town and it isn't long before folks around her start dying off. The detective has to put together the clues with the help of his Nancy Drew good girl daughter played by Friday the 13th alumni Dana Kimmell. The local Native Americans are prime suspects since they seem to upset the prejudiced townsfolk. These events all lead up to the revealing of the killer at Melissa's sixteenth birthday party.<br /><br />This below average slasher isn't too memorable. It has a made for TV feel, without much score besides the title character's own corny theme song which plays a couple times throughout. Lines like ""the killer will turn us into coleslaw."" Fit into standard eighties slasher screenplays. Marci calls Melissa a bad name then somehow immediately they develop a friendship. Apparently Marci sees how hard it is to fit in because Melissa knows how to wear make-up. This movie would be hard-pressed to be made today with the main character being fifteen and the director inserting multiple gratuitous close-ups of her. The social commentary on Indians wasn't developed enough to be taken seriously. I am too surprised at the fairly high rating this movie gets. Both Sweet Sixteen and Ed Hunt's Bloody Birthday had the potential to capitalize on that time honored tradition of the birthday party to create an intense sequence of carnage but I feel failed to deliver. But on the bright side releasing obscure movies like this on DVD gives hope that others will follow.",negative
"A gritty presentation of the decay of family values and human dignity in the wake of Soviet communism, Vasili Pichul's 1988 film Little Vera is a landmark film of modern Russian cinema. Pichul's brutal drama marks a strong departure from the images of sanitized idealism promoted in Soviet times (as in Aleksandrov's Circus), brashly moving the social chaos of his time into the public spotlight. A contemporary Ukrainian setting further intensifies the effect, first by the immediacy of the film to its time period, second by its utilization of a locale not only struggling for identity in lieu of a Soviet system, but also as a nation distinct from the Russian idiom that had dominated the U.S.S.R.<br /><br />Vera, the film's title character and protagonist, is a rebellious adolescent girl with a ""dysfunctional"" family including a hard-drinking father and a mother care-worn. Rejecting her would-be beau Andrei, Vera begins a destructive (and primarily sexual) relationship with a college student named Sergei. Despite her parents' dislike for the lazy Sergei, and despite Sergei's rude contempt for her parents, he moves into their cramped apartment. Tensions escalate until Vera's father drunkenly stabs Sergei. Vera must decide if she will stay loyal to her intolerable family by testifying her father acted in self-defense, or continue to support and defend the ever-detached Sergei. <br /><br />Unbearable in almost every imaginable way, Little Vera masterfully captures and communicates the inescapable void left in social life after the collapse of communism. The sexual aggressiveness of the film (it was the first film to show explicit sex) combined with the unrelenting presentation of social reality (a marked distinction from the socialist realism demanded by Stalin) effectively confronted the conditions of former-Soviet life. Most interesting, however, was public reception. While many wrote hate mail to the director and star, the film was wildly popular. Here the double-edged nature of ""film as social criticism"" emerges: if done correctly, the film will make the audience uncomfortable. Because no easy solution presents itself, some viewers will hate the film and filmmakers for ""bringing up"" the issue. Many films come to mind as somewhat comparable in this regard: Larry Clark's Kids, Harmony Korine's Gummo, even popular movie's such as John Hughes' Breakfast Club. <br /><br />I recommend this film to those viewers for whom the prospect of nearly two hours excruciating domestic conflict and social miasma is not overly daunting. The film is absolutely beautiful, and incredibly challenging. Despite the difficulties of watching the film, some moments within it are profoundly beautiful. Of course, the socio-historic and cultural significance of the film cannot be overlooked, and in fact operate as an even more assertive reason for watching this film.",positive
"...un-funny and un-entertaining, possibly the worst movie I have ever had the misfortune to watch. Think 'Ernest goes to..' humour done even worse. Myself and my girlfriend sat through it just to see if it could be as consistently dire as it seems in the opening sequence... Yes it is. Avoid at all costs.",negative
"Three horror stories based on members of a transgressive Hindu cult that return home but changed in some way. In the first story our former cult member is now in an insane asylum and is visited by a reported who wants to find out about what went on at the cult. Somewhat slow going as story is told in flashbacks while the two sit on chairs and face each other. Reporter is particularly interested in what lead to the death of the participants. What seemed rather boring suddenly turns very exciting with a surprising twist in the story. Things get quite bloody.<br /><br />Second story has a violent young criminal visiting a psychiatrist for mandatory therapy. The patient seems to have some type of agenda but the psychiatrist is up to the task. Again, things slow down a bit and get weird. Then there's a strange twist in the story that is very well written and surprising.<br /><br />Final story deals with spiritual healer who claims to be able to remove the persons illness from them with his hands. One of the patients is a former cult member, so the successful healing gets more complicated. Again, we are surprised by a twist. Has a pretty gory scene in there.<br /><br />There some nice female full frontal nudity as well as male full frontal nudity for some reason. I found the stories to be very well written and the director succeeds entirely in setting up each story with its surprising twist and the gory aftermath.<br /><br />Note: review of the German DVD.",positive
"Just to clarify, Matthew Poncelet wasn't a real person, but a character combination of 2 killers who were BOTH convicted and sentenced to die for a murder of two teenagers.<br /><br />I read the User Comments and they react as if Matthew was real. The character is based on a mixture of two killers, Elmo Patrick Sonnier and Robert Lee Willie (who murdered separate people) and the murder itself was based on the one Willie committed. The conflict of both Willie having someone else present and both parties swearing the other did the killing is worked into the story as well.<br /><br />Prejean's approach is unique in that she not only is ministering to the convicts as they wait for their death and aiding them in taking responsibility for their actions, she also reaches out to the victims' families, to help them know that the convict did, indeed feel remorse for what they did-effectively aiding both parties.<br /><br />Everyone posting here seems to have strong beliefs on the Death Sentence. It's not my place to say it's right or wrong-in theory punishing death with death makes some sort of Karmic sense, however denying a person their freedom for the rest of their days, although costly, makes more sense to me-being stuck in a small room 23/7 (with one hour of exercise)for the rest of their days to be reminded of the cruel thing they did seem a more apt punishment-they are technically alive, but denied living. Say someone killed someone so they could get out of the responsibility the person they killed required (like Susan Smith killing her poor kids by shoving her car into a lake). I find it fittingly ironic that they would not get that ""freedom"" they craved and would now have to spend the rest of their days imprisoned.<br /><br />Prejean's point comes through the story very well. She has my respect-she manages to find that balance-she isn't supporting a killer, she is guiding them to accepting what they did. If they didn't feel some kind of remorse, they wouldn't be asking for spiritual guidance.<br /><br />Ona final note, when Poncelet apologizes to Delacroix parent for killing his son, the parents of the girl who was also murdered mutters something about why he didn't apologize for her death. I think the point was that throughout the movie, Poncelet denies killing both kids. There is doubt in Prejean's mind he did both killings-there is a friend who was sentenced but not to death-my thought is that Poncelet killed the Delacroix boy and the other man murdered the girl-hence Poncelet was taking responsibility for what he did. Had he been responsible for the girl's death, he probably would have apologized for that as well.",positive
"This movie is not schlock, despite the lo fi production and its link to Troma productions. A dark fable for adults. Exploitation is a theme of Sugar Cookies, and one wonders if the cast has not fallen prey to said theme. A weird movie with enticing visuals: shadows and contrast are prominent. Definitely worth a look, especially from fans of Warhol and stylish decadence. Through all the cruelty and wickedness, a moral, albeit twisted, can be gleamed.",positive
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure. I vividly remember Ebert giving it one star and it was supposedly booed at Cannes.<br /><br />Apparently these people didn't understand the movie, which is not that hard to comprehend since it's very esoteric, dark, and layered in ways that still astound me. Reading through many of the reviews here I find (even after about 7-8 viewings over the years) many elements of the film I had previously glossed over. But even without understanding much the psychological underpinnings of the story, it's still a cracking suspenser...even if you just take the escalating paranoia and persecution that overtakes Polanski's title character like a tsunami wave over the course of it's two hour running time.<br /><br />Examining the source material --- an excellent novella by underrated novelist Roland Topor --- uncovers more intriguing layers. Polanski's Trekovsky is a milquetoast of the highest order. Though he seems at first to be yet another mild everyday soul, one gradually realizes he is one of those people who seems to aimlessly drift through life, letting it direct him. He seems to have few strong feelings about his likes and dislikes. He finds himself gently pushed this way and that, but never seems to get too bent out of shape regardless. This vague sort of wishy-washy-ness is more noticeable in the novel than the movie, but there are hints of it early in the film too.<br /><br />Making a play for the apartment of a woman, one Mademouiselle Choule, who is in the hospital recovering from a recent suicide attempt, appears to be the most daring thing he has attempted (even effectively haggling down the price of the deposit in the bargain). He soon finds, however, that he is paying for his ""good thing"" in more ways than he cares, as he finds himself in the center of maelstrom created by a building full of neurotic, control freaks who are hypersensitive to even the slightest sign of human life, such as a footstep in the night or a knock on the door.<br /><br />Instead of taking a stand though, Trelkovsky becomes increasingly alienated by the situation, and overtaken by paranoia and a sense of persecution. He becomes obsessed with Choule, imagining himself to be like her, dressing like her, etc. as his own personality rapidly begins to be wiped away by his own insanity.<br /><br />If anyone has ever doubted Polanski's fearlessness as an artist, they'd be well-advised to see this film. His trademark black humor is prominently (and sometimes embarrassingly) on display here and --- god bless him --- he makes himself the butt of it. It's a tour de force performance in one of the richest, riskiest, most Gothic horror movies ever made. That more people haven't seen it is a true crime.",positive
"It's rare that I come across a film this awful, this annoying and this irritating. It is without doubt one of the worst films I've ever seen.<br /><br />The plot, when it's not a blur of confusing and pointlessly over flashy editing, is ludicrous. Why did Domino become such a bad-ass tough bitch? Because her gold fish died when she was a kid and this ""traumatic"" event left her emotionally stunted, and hating everyone. When the dialogue is not clichéd or banal, it's littered with laughable lines such as: ""There are three kinds of people in this world: the rich... the poor... and everyone else"". At one point the bounty hunters have some guy tied up in the back of their bus who has a combination number tattooed on his arm. Because of a confusing mobile phone call, instead of rolling his sleeve up and just reading the number, they blow off his arm with a shotgun. At another point, the bounty hunters take a bomb to a meeting arranged with the mafia and threaten to set the bomb off unless the mafia let them go!? Clearly not going to the meeting would have been just too easy.<br /><br />Keira Knightley is unconvincing and dreadfully miscast. Mickey Rourke does manage to salvage some credibility from this mess.<br /><br />I have enjoyed some of Tony Scott's previous films, True Romance being one, but all I could think while suffering this drivel was that it must have been made by a complete idiot.",negative
"I am a longtime fan of the original of this movie (Bella Martha/Mostly Martha), and everything that makes that movie great and enjoyable to watch is missing from this one. I miss the slow pace, the build-up of characters and their style in small gestures, the dominance of lights and moods and moves over dialog. I don't think that the story itself is enough. Martha/Kate is more secluded, and Mario/Nick is not a clown. In most of the cases the things that makes one scene great in the original, its is not working in its copy here. The small alterations take away the tension. My opinion is that you should go and see the original. It'll worth the inconvenience of subtitles.",negative
"A brilliant Russian émigré devises the Stanislavsky' system for winning at contract bridge - which makes him and his beautiful wife the GRAND SLAM Sweethearts of America.<br /><br />What could have been just another silly soap opera is elevated by fine production values & excellent acting to the status of a very enjoyable little comedy. A few unexpected touches are thrown in to keep the viewer's attention engaged - the way in which the principle cast is introduced as faces on a deck of cards; the introduction of a zany acrobat into the plot for no other reason than to enjoy a bit of lunacy; and the way in which a wide variety of different kinds of Americans are shown to be transfixed by listening to the broadcast of the concluding game.<br /><br />Paul Lukas & Loretta Young do very well as the Bridge Sweethearts - Lukas suave & sophisticated and Miss Young passionately loving and beautiful (even if the script keeps her puffing on a cigarette a bit too much). They are fun to watch, even when their behavior is not always the most believable or compelling.<br /><br />Frank McHugh gives another good performance as a relentlessly cheerful ghost writer who adores Miss Young. The delightful Glenda Farrell eschews her customary wisecracking persona in a small role as McHugh's ditsy gal pal. Roscoe Karns handles the fast-talking dialogue as a brash radio announcer. Diminutive Ferdinand Gottschalk is wonderful as a snobbish bridge expert.<br /><br />Movie mavens will recognize Dewey Robinson as a belligerent nightclub patron; Emma Dunn as a sob sister reporter; Paul Porcasi as the owner of the Russian nightclub; Charles Lane as a Russian waiter; and Jimmy Conlin as a kibitzer at the final bridge game - all uncredited.<br /><br />The film takes advantage of the fad for contract bridge which had swept across the country since its development in the 1920's. It expects the viewer to have a basic knowledge of the intricacies of the game and makes no attempt to explain anything to the uninformed.",positive
"I enjoyed this show, it was on in the uk, but not at peak time, and they seemed to move it all over the schedules so I wasn't able to watch them all. I was surprised when it didn't return and had no i idea why, still don't know, but i guess that's not important.<br /><br />Great performances from the two leads, they were very believable as friends. The two supporting actresses also added well to the mix. I guess it was part of a whole load of shows that were lifestyle centred, Friends being the obvious main one, but sex in the city came along a few years later.<br /><br />The characters, get take out coffee, they drink at nice bars , that sort of thing, a little woody allenish in a way.",positive
"The Salena Incident is set in Arizona where six death row inmates are being transfered from the state prison for reasons never explained, while driving along the heavily armed prison bus gets a flat & the driver is forced to pull off the road. Then two blonde birds turn up & after seducing the incompetent prison guards manage to get the better of them, the six prisoners are released but in a shoot-out their getaway car is damaged leaving them all stranded in the middle of the Arizona desert. They decide to head to the nearest town, Salena several miles away & take the cops with them as hostage. Once they reach Salena they find it odd that the place is completely deserted with not one single other person in sight. They soon discover that the entire town has been killed by flesh eating aliens & they are firmly placed on the menu...<br /><br />Also known as Alien Invasion Arizona in the US on DVD & apparently having the working title Terror Town this rubbishy low budget sci-fi horror flick was co-written, co-produced & directed by Dustin Rikert & has no real redeeming features at all, to be frank The Salena Incident is the sort of film which gives films a bad name. The film could roughly be divided into two parts, the opening forty or fifty odd minutes focuses on the prisoners in a thriller feeling opening, the guards & the escape although it's pretty poorly written & staged stuff. The dialogue between the two blonde birds & the prison guards is so bad it's unintentionally funny as the two fit birds chat up the two not so fit prison guards. Funny stuff actually, unfortunately The Salena Incident is supposed to be a sci-fi horror film not a comedy. Then once the escaped cons & their prison guard hostages arrive at Salena it goes into sci-fi horror mode as the aliens turn up & start killing our clichéd character's off which is good because they are annoying. Look, the whole film sucks as it's badly written, thought out & made. I can't really be bothered to go into why but trust me The Salena Incident is awful on every level.<br /><br />As well as being just a bad, boring & stupid film The Salena Incident is also poorly made. The action set-piece scenes are awful, the aliens looks terrible & are never shown on screen at the same time as the human character's & as such it's sometimes difficult to tell what's happening. The special effects are poor too, the aliens look rubbish & the CGI computer effects are absolutely terrible as well. The editing is poor, the cinematography is poor, the sets are cheap & the whole thing is just an eyesore really. There's a bit of gore, there's some gunshot wounds, someone is ripped in half & a severed hand is seen.<br /><br />Obviously shot on a low budget The Salena Incident has low production values & looks cheap from start to finish. Filmed in Superior in Arizona. The acting is terrible from no-one I have ever heard of although the actress who plays the female doctor is pretty good looking.<br /><br />The Salena Incident is a rubbish sci-fi horror film that is terrible in just about every way, not worth 90 minutes of yours, mine or anyone else's time.",negative
"This movie surprised me. Some things were ""clicheish"" and some technological elements reminded me of the movie ""Enemy of the State"" starring Will Smith. But for the most part very entertaining- good mix with Jamie Foxx and comedian Mike Epps and the 2 wannabe thugs Julio and Ramundo (providing some comic relief). This is a movie you can watch over again-say... some Wednesday night when nothing else is on. I gave it a 9 for entertainment value.",positive
"Just saw the World Preem of Fido at the Toronto International Film Festival and thoroughly enjoyed it. Here we have a welcome reworking of a genre widely thought to have been pioneered (certainly 'fleshed out' extensively and successfully) by George Romero. But this is a Canadian film by a Canadian Director and it's a Comedy! And, YES, I actually think it is better than 'Shawn of the Dead'. Thoroughly believable and, perhaps even more importantly, enjoyable performances by Dylan Baker, Carrie-Anne Moss and young actor K'Sun Ray, whom I suspect we'll be seeing a lot more of in future features. However, I must confess that I most enjoyed the delicious turn by Tim Blake Nelson as neighbour Mr. Theopolis, essentially playing a willing animated version of Victor Van Dort from the Corpse Bride (or, for those who've seen the film, wouldn't that read even better here as the Corpse Pride?) and, of course, Scotch actor Billy Connolly in his least animated, yet somehow deeply moving role as the titular character. Just think, he would not have gotten this role had it not been for Peter Stormare's commitments to Prison Break (as was revealed in the Q&A following Thursday night's screening). I can't help but speculate that the Screenwriters must have drawn a lot of inspiration from Day Of The Dead's Zombie 'Bub'.I am not keen on ever revealing plot details during a Comment and I won't start now. Suffice it to say that Fido is NOT one of those dour, graphically gory Zombie films you can rely on from Romero. Rather it is a film that will have you constantly chuckling and, although (and I did have to think back carefully to be sure) there is a fair dose of blood-letting and violence, the delectable humour, so well enhanced by the surreal milieu created by Director Currie and his co-screenwriters, goes a long way towards making this seem like a feature that ought to be rated PG-13. I urge you to go see this little Canuck gem. I'll certainly be buying the DVD once it emerges hopefully by next Summer.",positive
"This was indeed an amazing adaption. I missed the first episode so I unfortunately missed out on the bonding between the characters and the smooth flow of the storyline. But as soon I watched the second and then the third instalment I was just blown away. I ordered the DVD less than a week later and unable to wait for it to come I went straight out and brought the book. From the moment I opened it I was hooked, I just couldn't put it down. I decided to finish the whole book before I dare watch the DVD at all. I preferred the book because it got inside the characters minds, you could understand totally where they were coming from and what there role was within the story. They missed a lot out of the adaption which was disappointing as the book is a master piece and I think they could have done it superbly if they had been able to stretch it over a longer period of time. But considering only being able to be fitted into a 3 hour slot I think it was done excellent. It followed the main twisted storyline brilliantly. And the actors which were enrolled as the main characters where amazing! The love making scene was pure beautiful. It was so tender and loving and just showed how natural homosexual love can be. I was totally blown away with both the book and the TV adaption! I loved both of Sarah Waters previous novels and also found the Tipping the Velvet adaption quite enjoyable. But when I read and watched Fingersmith I knew none of her previous novels/adaption could beat it. Sarah Waters has indeed exceeded herself this time! I recommend that you watch this adaption! If Tipping the Velvet wasn't your thing, then don't let it put you off this one. Fingersmith is a whole new ball game. It is a beautiful yet dark twisted story about love, greed and betrayal...<br /><br />A MUST SEE!",positive
